sample_name	ligation_id	organism	isolate	tissue	sex	collection_date	dev_stage
APCL14_382_L0825	L0825	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-23	juvenile
APCL14_421_L0826	L0826	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-24	juvenile
APCL14_437_L0827	L0827	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-24	juvenile
APCL13_437_L0844	L0844	Amphiprion clarkii	not applicable	tail fin	male	2013-05-31	adult
APCL13_441_L0845	L0845	Amphiprion clarkii	not applicable	tail fin	female	2013-05-31	adult
APCL13_447_L0846	L0846	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-31	juvenile
APCL13_464_L0847	L0847	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-31	juvenile
APCL13_476_L0852	L0852	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-31	juvenile
APCL13_478_L0853	L0853	Amphiprion clarkii	not applicable	tail fin	male	2013-05-31	adult
APCL13_479_L0854	L0854	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-31	juvenile
APCL13_480_L0855	L0855	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-31	juvenile
APCL13_492_L0857	L0857	Amphiprion clarkii	not applicable	tail fin	male	2013-05-31	adult
APCL13_518_L0858	L0858	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-02	juvenile
APCL13_522_L0859	L0859	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-02	juvenile
APCL13_524_L0860	L0860	Amphiprion clarkii	not applicable	tail fin	male	2013-06-02	adult
APCL13_527_L0861	L0861	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-02	juvenile
APCL13_533_L0862	L0862	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-02	juvenile
APCL13_536_L0863	L0863	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-02	juvenile
APCL13_539_L0864	L0864	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-02	juvenile
APCL13_541_L0865	L0865	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-02	juvenile
APCL13_542_L0866	L0866	Amphiprion clarkii	not applicable	tail fin	male	2013-06-02	adult
APCL13_543_L0867	L0867	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-02	juvenile
APCL13_550_L0869	L0869	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-02	juvenile
APCL13_556_L0870	L0870	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-03	juvenile
APCL13_560_L0871	L0871	Amphiprion clarkii	not applicable	tail fin	male	2013-06-03	adult
APCL13_562_L0872	L0872	Amphiprion clarkii	not applicable	tail fin	female	2013-06-03	adult
APCL13_563_L0873	L0873	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-03	juvenile
APCL13_572_L0874	L0874	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-03	juvenile
APCL13_574_L0875	L0875	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-03	juvenile
APCL13_581_L0876	L0876	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-03	juvenile
APCL13_588_L0878	L0878	Amphiprion clarkii	not applicable	tail fin	male	2013-06-03	adult
APCL13_589_L0879	L0879	Amphiprion clarkii	not applicable	tail fin	female	2013-06-03	adult
APCL13_540_L0880	L0880	Amphiprion clarkii	not applicable	tail fin	female	2013-06-02	adult
APCL13_603_L0882	L0882	Amphiprion clarkii	not applicable	tail fin	male	2013-06-03	adult
