sample_name	ligation_id	organism	isolate	tissue	sex	collection_date	dev_stage
APCL14_288_L1188	L1188	Amphiprion clarkii	not applicable	tail fin	male	2014-06-22	adult
APCL14_297_L1189	L1189	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-22	juvenile
APCL14_322_L1190	L1190	Amphiprion clarkii	not applicable	tail fin	female	2014-06-22	adult
APCL14_259_L1191	L1191	Amphiprion clarkii	not applicable	tail fin	female	2014-06-22	adult
APCL14_262_L1192	L1192	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-22	juvenile
APCL14_264_L1193	L1193	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-22	juvenile
APCL14_274_L1194	L1194	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-22	juvenile
APCL14_276_L1195	L1195	Amphiprion clarkii	not applicable	tail fin	male	2014-06-22	adult
APCL14_278_L1196	L1196	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-22	juvenile
APCL14_279_L1197	L1197	Amphiprion clarkii	not applicable	tail fin	male	2014-06-22	adult
APCL14_280_L1198	L1198	Amphiprion clarkii	not applicable	tail fin	male	2014-06-22	adult
APCL14_281_L1199	L1199	Amphiprion clarkii	not applicable	tail fin	male	2014-06-22	adult
APCL14_282_L1200	L1200	Amphiprion clarkii	not applicable	tail fin	female	2014-06-22	adult
APCL14_283_L1201	L1201	Amphiprion clarkii	not applicable	tail fin	male	2014-06-22	adult
APCL14_284_L1202	L1202	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-22	juvenile
APCL14_285_L1203	L1203	Amphiprion clarkii	not applicable	tail fin	male	2014-06-22	adult
APCL14_286_L1204	L1204	Amphiprion clarkii	not applicable	tail fin	male	2014-06-22	adult
APCL14_287_L1205	L1205	Amphiprion clarkii	not applicable	tail fin	female	2014-06-22	adult
APCL14_289_L1206	L1206	Amphiprion clarkii	not applicable	tail fin	female	2014-06-22	adult
APCL13_630_L1209	L1209	Amphiprion clarkii	not applicable	tail fin	male	2013-06-04	adult
APCL13_632_L1210	L1210	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-04	juvenile
APCL13_211_L1215	L1215	Amphiprion clarkii	not applicable	tail fin	female	2013-05-27	adult
APCL13_555_L1217	L1217	Amphiprion clarkii	not applicable	tail fin	female	2013-06-02	adult
APCL13_557_L1218	L1218	Amphiprion clarkii	not applicable	tail fin	male	2013-06-03	adult
APCL13_559_L1219	L1219	Amphiprion clarkii	not applicable	tail fin	female	2013-06-03	adult
APCL13_575_L1220	L1220	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-03	juvenile
APCL13_579_L1221	L1221	Amphiprion clarkii	not applicable	tail fin	female	2013-06-03	adult
APCL13_596_L1222	L1222	Amphiprion clarkii	not applicable	tail fin	male	2013-06-03	adult
APCL13_598_L1223	L1223	Amphiprion clarkii	not applicable	tail fin	female	2013-06-03	adult
APCL13_599_L1224	L1224	Amphiprion clarkii	not applicable	tail fin	female	2013-06-03	adult
APCL13_602_L1225	L1225	Amphiprion clarkii	not applicable	tail fin	male	2013-06-03	adult
APCL13_637_L1226	L1226	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-04	juvenile
APCL14_011_L1227	L1227	Amphiprion clarkii	not applicable	tail fin	male	2014-06-10	adult
APCL14_024_L1228	L1228	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-11	juvenile
APCL14_025_L1229	L1229	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-11	juvenile
APCL14_027_L1230	L1230	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-11	juvenile
APCL13_640_L1231	L1231	Amphiprion clarkii	not applicable	tail fin	female	2013-06-04	adult
APCL14_055_L1232	L1232	Amphiprion clarkii	not applicable	tail fin	female	2014-06-12	adult
APCL14_097_L1233	L1233	Amphiprion clarkii	not applicable	tail fin	female	2014-06-13	adult
APCL14_184_L1234	L1234	Amphiprion clarkii	not applicable	tail fin	male	2014-06-17	adult
APCL14_256_L1235	L1235	Amphiprion clarkii	not applicable	tail fin	female	2014-06-22	adult
APCL14_416_L1237	L1237	Amphiprion clarkii	not applicable	tail fin	male	2014-06-23	adult
APCL14_448_L1239	L1239	Amphiprion clarkii	not applicable	tail fin	male	2014-06-24	adult
APCL14_451_L1240	L1240	Amphiprion clarkii	not applicable	tail fin	female	2014-06-24	adult
APCL14_035_L1242	L1242	Amphiprion clarkii	not applicable	tail fin	male	2014-06-12	adult
APCL14_038_L1243	L1243	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-12	juvenile
APCL14_241_L1244	L1244	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL14_249_L1245	L1245	Amphiprion clarkii	not applicable	tail fin	male	2014-06-22	adult
APCL14_254_L1246	L1246	Amphiprion clarkii	not applicable	tail fin	male	2014-06-22	adult
APCL14_554_L1247	L1247	Amphiprion clarkii	not applicable	tail fin	male	2014-07-02	adult
APCL13_641_L1248	L1248	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-04	juvenile
APCL13_648_L1249	L1249	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-04	juvenile
APCL13_665_L1250	L1250	Amphiprion clarkii	not applicable	tail fin	female	2013-06-04	adult
APCL14_028_L1253	L1253	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-11	juvenile
APCL14_426_L1254	L1254	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-24	juvenile
APCL13_113_L1258	L1258	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-25	juvenile
APCL13_174_L1260	L1260	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-26	juvenile
APCL13_465_L1261	L1261	Amphiprion clarkii	not applicable	tail fin	male	2013-05-31	adult
APCL13_477_L1263	L1263	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-31	juvenile
APCL13_462_L1268	L1268	Amphiprion clarkii	not applicable	tail fin	male	2013-05-31	adult
APCL13_468_L1269	L1269	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-31	juvenile
APCL13_525_L1270	L1270	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-02	juvenile
APCL13_578_L1271	L1271	Amphiprion clarkii	not applicable	tail fin	male	2013-06-03	adult
APCL13_586_L1272	L1272	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-03	juvenile
APCL13_647_L1274	L1274	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-04	juvenile
APCL14_031_L1275	L1275	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-12	juvenile
APCL14_205_L1277	L1277	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL13_610_L1278	L1278	Amphiprion clarkii	not applicable	tail fin	male	2013-06-04	adult
APCL14_233_L1279	L1279	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL14_243_L1280	L1280	Amphiprion clarkii	not applicable	tail fin	male	2014-06-18	adult
APCL14_433_L1283	L1283	Amphiprion clarkii	not applicable	tail fin	male	2014-06-24	adult
APCL14_148_L1284	L1284	Amphiprion clarkii	not applicable	tail fin	male	2014-06-16	adult
APCL14_219_L1285	L1285	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL14_459_L1286	L1286	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-26	juvenile
APCL14_225_L1289	L1289	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL14_034_L1290	L1290	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-12	juvenile
APCL14_174_L1291	L1291	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-17	juvenile
APCL14_037_L1293	L1293	Amphiprion clarkii	not applicable	tail fin	female	2014-06-12	adult
APCL14_211_L1295	L1295	Amphiprion clarkii	not applicable	tail fin	female	2014-06-18	adult
APCL14_216_L1299	L1299	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL14_257_L1301	L1301	Amphiprion clarkii	not applicable	tail fin	male	2014-06-22	adult
APCL14_266_L1302	L1302	Amphiprion clarkii	not applicable	tail fin	male	2014-06-22	adult
APCL13_439_L1308	L1308	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-31	juvenile
APCL13_473_L1309	L1309	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-31	juvenile
APCL13_475_L1310	L1310	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-05-31	juvenile
APCL13_484_L1311	L1311	Amphiprion clarkii	not applicable	tail fin	female	2013-05-31	adult
APCL13_519_L1312	L1312	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-02	juvenile
APCL13_531_L1314	L1314	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-02	juvenile
APCL13_546_L1315	L1315	Amphiprion clarkii	not applicable	tail fin	female	2013-06-02	adult
APCL13_571_L1316	L1316	Amphiprion clarkii	not applicable	tail fin	female	2013-06-03	adult
APCL13_576_L1317	L1317	Amphiprion clarkii	not applicable	tail fin	female	2013-06-03	adult
APCL13_593_L1318	L1318	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-03	juvenile
APCL13_597_L1319	L1319	Amphiprion clarkii	not applicable	tail fin	male	2013-06-03	adult
APCL14_212_L1322	L1322	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-18	juvenile
APCL14_179_L1323	L1323	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-17	juvenile
APCL14_180_L1324	L1324	Amphiprion clarkii	not applicable	tail fin	male	2014-06-17	adult
APCL14_054_L1329	L1329	Amphiprion clarkii	not applicable	tail fin	NA	2014-06-12	NA
APCL14_099_L1330	L1330	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-13	juvenile
APCL14_163_L1331	L1331	Amphiprion clarkii	not applicable	tail fin	male	2014-06-17	adult
APCL14_177_L1332	L1332	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-17	juvenile
APCL14_191_L1333	L1333	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-17	juvenile
APCL14_146_L1335	L1335	Amphiprion clarkii	not applicable	tail fin	male	2014-06-16	adult
APCL13_650_L1336	L1336	Amphiprion clarkii	not applicable	tail fin	female	2013-06-04	adult
APCL14_082_L1337	L1337	Amphiprion clarkii	not applicable	tail fin	female	2014-06-13	adult
APCL14_085_L1338	L1338	Amphiprion clarkii	not applicable	tail fin	male	2014-06-13	adult
APCL14_089_L1339	L1339	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-13	juvenile
APCL14_406_L1340	L1340	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-23	juvenile
APCL14_434_L1344	L1344	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-24	juvenile
APCL14_439_L1346	L1346	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-24	juvenile
APCL14_440_L1347	L1347	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-24	juvenile
APCL14_258_L1348	L1348	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-22	juvenile
APCL13_639_L1724	L1724	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-04	juvenile
APCL14_399_L1730	L1730	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-23	juvenile
APCL14_401_L1731	L1731	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-23	juvenile
APCL12_022_L1733	L1733	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-06	NA
APCL12_037_L1734	L1734	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-08	NA
APCL14_315_L1743	L1743	Amphiprion clarkii	not applicable	tail fin	male	2014-06-22	adult
APCL14_316_L1744	L1744	Amphiprion clarkii	not applicable	tail fin	female	2014-06-22	adult
APCL14_400_L1745	L1745	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-23	juvenile
APCL12_049_L1756	L1756	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-08	NA
APCL12_050_L1757	L1757	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-08	NA
APCL12_088_L1760	L1760	Amphiprion clarkii	not applicable	tail fin	male	2012-05-09	adult
APCL12_092_L1761	L1761	Amphiprion clarkii	not applicable	tail fin	male	2012-05-09	adult
APCL12_093_L1762	L1762	Amphiprion clarkii	not applicable	tail fin	male	2012-05-09	adult
APCL12_095_L1763	L1763	Amphiprion clarkii	not applicable	tail fin	female	2012-05-09	adult
APCL12_099_L1764	L1764	Amphiprion clarkii	not applicable	tail fin	male	2012-05-09	adult
APCL12_104_L1765	L1765	Amphiprion clarkii	not applicable	tail fin	female	2012-05-09	adult
APCL12_105_L1766	L1766	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09	NA
APCL12_107_L1767	L1767	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09	NA
APCL12_108_L1768	L1768	Amphiprion clarkii	not applicable	tail fin	female	2012-05-09	adult
APCL12_109_L1769	L1769	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09	NA
APCL12_110_L1770	L1770	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09	NA
APCL12_111_L1771	L1771	Amphiprion clarkii	not applicable	tail fin	male	2012-05-09	adult
APCL12_113_L1772	L1772	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09	NA
APCL12_116_L1773	L1773	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-09	juvenile
APCL12_118_L1774	L1774	Amphiprion clarkii	not applicable	tail fin	male	2012-05-09	adult
APCL12_120_L1775	L1775	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-09	juvenile
APCL12_153_L1777	L1777	Amphiprion clarkii	not applicable	tail fin	male	2012-05-10	adult
APCL12_160_L1778	L1778	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-10	juvenile
APCL12_170_L1779	L1779	Amphiprion clarkii	not applicable	tail fin	female	2012-05-10	adult
APCL12_176_L1780	L1780	Amphiprion clarkii	not applicable	tail fin	female	2012-05-10	adult
APCL12_177_L1781	L1781	Amphiprion clarkii	not applicable	tail fin	female	2012-05-10	adult
APCL12_179_L1782	L1782	Amphiprion clarkii	not applicable	tail fin	male	2012-05-10	adult
APCL13_643_L2200	L2200	Amphiprion clarkii	not applicable	tail fin	male	2013-06-04	adult
APCL12_051_L2202	L2202	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-08	NA
APCL12_052_L2203	L2203	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-08	NA
APCL12_053_L2204	L2204	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-08	NA
APCL12_071_L2205	L2205	Amphiprion clarkii	not applicable	tail fin	female	2012-05-09	adult
APCL12_074_L2206	L2206	Amphiprion clarkii	not applicable	tail fin	female	2012-05-09	adult
APCL12_083_L2207	L2207	Amphiprion clarkii	not applicable	tail fin	male	2012-05-09	adult
APCL12_085_L2209	L2209	Amphiprion clarkii	not applicable	tail fin	female	2012-05-09	adult
APCL12_090_L2210	L2210	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09	NA
APCL12_091_L2211	L2211	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09	NA
APCL12_094_L2212	L2212	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09	NA
APCL12_098_L2213	L2213	Amphiprion clarkii	not applicable	tail fin	female	2012-05-09	adult
APCL12_102_L2214	L2214	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-09	juvenile
APCL12_106_L2215	L2215	Amphiprion clarkii	not applicable	tail fin	male	2012-05-09	adult
APCL12_115_L2216	L2216	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-09	juvenile
APCL12_117_L2217	L2217	Amphiprion clarkii	not applicable	tail fin	male	2012-05-09	adult
APCL12_119_L2218	L2218	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09	NA
APCL12_122_L2220	L2220	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-09	juvenile
APCL12_123_L2221	L2221	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09	NA
APCL12_125_L2222	L2222	Amphiprion clarkii	not applicable	tail fin	male	2012-05-09	adult
APCL12_138_L2223	L2223	Amphiprion clarkii	not applicable	tail fin	female	2012-05-10	adult
APCL12_144_L2224	L2224	Amphiprion clarkii	not applicable	tail fin	female	2012-05-10	adult
APCL12_150_L2225	L2225	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-10	juvenile
APCL12_167_L2226	L2226	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-10	juvenile
APCL12_205_L2227	L2227	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-11	juvenile
APCL12_209_L2228	L2228	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-11	juvenile
APCL12_210_L2229	L2229	Amphiprion clarkii	not applicable	tail fin	male	2012-05-11	adult
APCL13_414_L2230	L2230	Amphiprion clarkii	not applicable	tail fin	female	2013-05-30	adult
APCL13_503_L2232	L2232	Amphiprion clarkii	not applicable	tail fin	male	2013-06-01	adult
APCL13_504_L2233	L2233	Amphiprion clarkii	not applicable	tail fin	male	2013-06-01	adult
APCL13_205_L2234	L2234	Amphiprion clarkii	not applicable	tail fin	female	2013-05-27	adult
APCL13_506_L2235	L2235	Amphiprion clarkii	not applicable	tail fin	male	2013-06-01	adult
APCL13_508_L2236	L2236	Amphiprion clarkii	not applicable	tail fin	female	2013-06-01	adult
APCL13_509_L2237	L2237	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-01	juvenile
APCL13_510_L2238	L2238	Amphiprion clarkii	not applicable	tail fin	female	2013-06-01	adult
APCL13_511_L2239	L2239	Amphiprion clarkii	not applicable	tail fin	male	2013-06-01	adult
APCL14_130_L2244	L2244	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-16	juvenile
APCL14_186_L2248	L2248	Amphiprion clarkii	not applicable	tail fin	not applicable	2014-06-17	juvenile
APCL12_032_L2259	L2259	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-08	NA
APCL12_069_L2263	L2263	Amphiprion clarkii	not applicable	tail fin	male	2012-05-09	adult
APCL12_070_L2264	L2264	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09	NA
APCL12_077_L2265	L2265	Amphiprion clarkii	not applicable	tail fin	male	2012-05-09	adult
APCL12_086_L2266	L2266	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09	NA
APCL12_089_L2267	L2267	Amphiprion clarkii	not applicable	tail fin	male	2012-05-09	adult
APCL12_096_L2268	L2268	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-09	juvenile
APCL12_100_L2269	L2269	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09	NA
APCL12_103_L2270	L2270	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09	NA
APCL12_130_L2272	L2272	Amphiprion clarkii	not applicable	tail fin	female	2012-05-10	adult
APCL12_152_L2274	L2274	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-10	juvenile
APCL12_159_L2275	L2275	Amphiprion clarkii	not applicable	tail fin	male	2012-05-10	adult
APCL12_166_L2276	L2276	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-10	juvenile
APCL12_171_L2277	L2277	Amphiprion clarkii	not applicable	tail fin	female	2012-05-10	adult
APCL12_194_L2278	L2278	Amphiprion clarkii	not applicable	tail fin	male	2012-05-11	adult
APCL12_197_L2279	L2279	Amphiprion clarkii	not applicable	tail fin	female	2012-05-11	adult
APCL12_199_L2281	L2281	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-11	juvenile
APCL12_201_L2282	L2282	Amphiprion clarkii	not applicable	tail fin	male	2012-05-11	adult
APCL12_206_L2284	L2284	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-11	juvenile
APCL12_207_L2285	L2285	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-11	juvenile
APCL12_211_L2287	L2287	Amphiprion clarkii	not applicable	tail fin	female	2012-05-11	adult
APCL12_212_L2288	L2288	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-11	juvenile
APCL14_560_L2289	L2289	Amphiprion clarkii	not applicable	tail fin	male	2014-06-12	adult
APCL12_216_L2290	L2290	Amphiprion clarkii	not applicable	tail fin	male	2012-05-11	adult
APCL12_217_L2291	L2291	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-11	juvenile
APCL12_218_L2292	L2292	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-11	juvenile
APCL12_240_L2293	L2293	Amphiprion clarkii	not applicable	tail fin	male	2012-05-13	adult
APCL12_241_L2294	L2294	Amphiprion clarkii	not applicable	tail fin	male	2012-05-13	adult
APCL12_242_L2295	L2295	Amphiprion clarkii	not applicable	tail fin	male	2012-05-13	adult
APCL12_243_L2296	L2296	Amphiprion clarkii	not applicable	tail fin	female	2012-05-13	adult
APCL12_245_L2297	L2297	Amphiprion clarkii	not applicable	tail fin	male	2012-05-13	adult
APCL12_246_L2298	L2298	Amphiprion clarkii	not applicable	tail fin	male	2012-05-13	adult
APCL12_252_L2299	L2299	Amphiprion clarkii	not applicable	tail fin	male	2012-05-14	adult
APCL12_253_L2300	L2300	Amphiprion clarkii	not applicable	tail fin	female	2012-05-14	adult
APCL12_254_L2301	L2301	Amphiprion clarkii	not applicable	tail fin	male	2012-05-14	adult
APCL12_257_L2302	L2302	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-14	juvenile
APCL12_259_L2303	L2303	Amphiprion clarkii	not applicable	tail fin	female	2012-05-14	adult
APCL12_260_L2304	L2304	Amphiprion clarkii	not applicable	tail fin	male	2012-05-14	adult
APCL12_261_L2305	L2305	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-14	juvenile
APCL12_262_L2306	L2306	Amphiprion clarkii	not applicable	tail fin	female	2012-05-14	adult
APCL12_263_L2307	L2307	Amphiprion clarkii	not applicable	tail fin	male	2012-05-14	adult
APCL12_264_L2308	L2308	Amphiprion clarkii	not applicable	tail fin	male	2012-05-14	adult
APCL12_265_L2309	L2309	Amphiprion clarkii	not applicable	tail fin	male	2012-05-14	adult
APCL12_266_L2310	L2310	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-14	juvenile
APCL12_267_L2311	L2311	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-14	juvenile
APCL12_268_L2312	L2312	Amphiprion clarkii	not applicable	tail fin	male	2012-05-14	adult
APCL12_269_L2313	L2313	Amphiprion clarkii	not applicable	tail fin	male	2012-05-14	adult
APCL12_270_L2314	L2314	Amphiprion clarkii	not applicable	tail fin	female	2012-05-14	adult
APCL15_356376_L2315	L2315	Amphiprion clarkii	not applicable	tail fin	male	2015-06-13	adult
APCL12_272_L2316	L2316	Amphiprion clarkii	not applicable	tail fin	female	2012-05-14	adult
APCL12_273_L2317	L2317	Amphiprion clarkii	not applicable	tail fin	male	2012-05-14	adult
APCL12_274_L2318	L2318	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-14	juvenile
APCL12_276_L2319	L2319	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-14	juvenile
APCL12_277_L2320	L2320	Amphiprion clarkii	not applicable	tail fin	male	2012-05-14	adult
APCL12_280_L2323	L2323	Amphiprion clarkii	not applicable	tail fin	male	2012-05-14	adult
APCL12_281_L2324	L2324	Amphiprion clarkii	not applicable	tail fin	female	2012-05-14	adult
APCL12_282_L2325	L2325	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-14	juvenile
APCL12_284_L2327	L2327	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-14	juvenile
APCL12_285_L2328	L2328	Amphiprion clarkii	not applicable	tail fin	female	2012-05-14	adult
APCL12_286_L2329	L2329	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-14	juvenile
APCL15_404648_L2331	L2331	Amphiprion clarkii	not applicable	tail fin	male	2015-06-11	adult
APCL15_402854_L2332	L2332	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-11	juvenile
APCL15_405490_L2333	L2333	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-11	juvenile
APCL15_403262_L2334	L2334	Amphiprion clarkii	not applicable	tail fin	female	2015-06-11	adult
APCL15_403388_L2336	L2336	Amphiprion clarkii	not applicable	tail fin	female	2015-06-11	adult
APCL15_403072_L2337	L2337	Amphiprion clarkii	not applicable	tail fin	male	2015-06-11	adult
APCL15_403075_L2338	L2338	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-11	juvenile
APCL15_133_L2339	L2339	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-11	juvenile
APCL15_132_L2340	L2340	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-11	juvenile
APCL15_402950_L2343	L2343	Amphiprion clarkii	not applicable	tail fin	female	2015-06-11	adult
APCL12_025_L2344	L2344	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-06	NA
APCL12_030_L2345	L2345	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-06	NA
APCL12_124_L2346	L2346	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-09	juvenile
APCL13_514_L2347	L2347	Amphiprion clarkii	not applicable	tail fin	not applicable	2013-06-02	juvenile
APCL14_125_L2348	L2348	Amphiprion clarkii	not applicable	tail fin	female	2014-06-16	adult
APCL12_036_L2355	L2355	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-08	NA
APCL12_040_L2356	L2356	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-08	NA
APCL12_041_L2357	L2357	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-08	NA
APCL12_042_L2358	L2358	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-08	NA
APCL12_047_L2360	L2360	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-08	NA
APCL12_055_L2361	L2361	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09	NA
APCL12_059_L2363	L2363	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09	NA
APCL12_078_L2364	L2364	Amphiprion clarkii	not applicable	tail fin	male	2012-05-09	adult
APCL12_087_L2365	L2365	Amphiprion clarkii	not applicable	tail fin	male	2012-05-09	adult
APCL12_097_L2366	L2366	Amphiprion clarkii	not applicable	tail fin	male	2012-05-09	adult
APCL12_101_L2367	L2367	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09	NA
APCL12_112_L2368	L2368	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-09	NA
APCL12_126_L2369	L2369	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-10	NA
APCL12_127_L2370	L2370	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-10	NA
APCL12_129_L2371	L2371	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-10	NA
APCL12_133_L2372	L2372	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-10	juvenile
APCL12_134_L2373	L2373	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-10	juvenile
APCL12_139_L2374	L2374	Amphiprion clarkii	not applicable	tail fin	male	2012-05-10	adult
APCL12_141_L2375	L2375	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-10	juvenile
APCL12_146_L2376	L2376	Amphiprion clarkii	not applicable	tail fin	female	2012-05-10	adult
APCL12_151_L2377	L2377	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-10	juvenile
APCL12_156_L2378	L2378	Amphiprion clarkii	not applicable	tail fin	female	2012-05-10	adult
APCL12_163_L2379	L2379	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-10	juvenile
