sample_name	ligation_id	organism	isolate	tissue	sex	collection_date
APCL16_751	L5429	Amphiprion clarkii	not applicable	tail fin	F	2016-06-09
APCL16_739	L5417	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_683	L3709	Amphiprion clarkii	not applicable	tail fin	F	2016-06-06
APCL16_683	L5369	Amphiprion clarkii	not applicable	tail fin	F	2016-06-06
APCL16_674	L3718	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_674	L5359	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_747	L5425	Amphiprion clarkii	not applicable	tail fin	M	2016-06-09
APCL16_707	L5388	Amphiprion clarkii	not applicable	tail fin	M	2016-06-07
APCL16_741	L5419	Amphiprion clarkii	not applicable	tail fin	M	2016-06-07
APCL16_732	L5410	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_729	L5407	Amphiprion clarkii	not applicable	tail fin	F	2016-06-07
APCL16_669	L3723	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_669	L5354	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_728	L5406	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_713	L5392	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_663	L3729	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_663	L5348	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_661	L3731	Amphiprion clarkii	not applicable	tail fin	F	2016-06-06
APCL16_661	L5346	Amphiprion clarkii	not applicable	tail fin	F	2016-06-06
APCL16_659	L3733	Amphiprion clarkii	not applicable	tail fin	F	2016-06-06
APCL16_659	L5344	Amphiprion clarkii	not applicable	tail fin	F	2016-06-06
APCL16_664	L3728	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_664	L5349	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_666	L3726	Amphiprion clarkii	not applicable	tail fin	M	2016-06-06
APCL16_660	L3732	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_665	L3727	Amphiprion clarkii	not applicable	tail fin	F	2016-06-06
APCL16_665	L5350	Amphiprion clarkii	not applicable	tail fin	F	2016-06-06
APCL16_662	L3730	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_662	L5347	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL17_499	L4961	Amphiprion clarkii	not applicable	tail fin	F	2017-06-06
APCL17_440	L4918	Amphiprion clarkii	not applicable	tail fin	M	2017-06-04
APCL17_449	L4926	Amphiprion clarkii	not applicable	tail fin	M	2017-06-05
APCL17_446	L4923	Amphiprion clarkii	not applicable	tail fin	F	2017-06-05
APCL17_490	L4953	Amphiprion clarkii	not applicable	tail fin	F	2017-06-05
APCL17_444	L4921	Amphiprion clarkii	not applicable	tail fin	M	2017-06-04
APCL17_425	L4904	Amphiprion clarkii	not applicable	tail fin	M	2017-06-04
APCL17_432	L4911	Amphiprion clarkii	not applicable	tail fin	M	2017-06-04
APCL17_463	L4935	Amphiprion clarkii	not applicable	tail fin	M	2017-06-05
APCL17_441	L4919	Amphiprion clarkii	not applicable	tail fin	J	2017-06-04
APCL17_428	L4907	Amphiprion clarkii	not applicable	tail fin	F	2017-06-04
APCL17_477	L4943	Amphiprion clarkii	not applicable	tail fin	J	2017-06-05
APCL17_469	L4938	Amphiprion clarkii	not applicable	tail fin	F	2017-06-05
APCL17_492	L4955	Amphiprion clarkii	not applicable	tail fin	F	2017-06-05
APCL17_488	L4952	Amphiprion clarkii	not applicable	tail fin	J	2017-06-05
APCL17_422	L4901	Amphiprion clarkii	not applicable	tail fin	J	2017-06-04
APCL17_447	L4924	Amphiprion clarkii	not applicable	tail fin	J	2017-06-05
