sample_name	ligation_id	organism	isolate	tissue	sex	collection_date
APCL17_384	L5499	Amphiprion clarkii	not applicable	tail fin	J	2017-06-02
APCL17_383	L5498	Amphiprion clarkii	not applicable	tail fin	J	2017-06-02
APCL17_331	L5474	Amphiprion clarkii	not applicable	tail fin	J	2017-05-30
APCL17_355	L5487	Amphiprion clarkii	not applicable	tail fin	M	2017-06-02
APCL17_326	L5470	Amphiprion clarkii	not applicable	tail fin	F	2017-05-30
APCL17_360	L5565	Amphiprion clarkii	not applicable	tail fin	M	2017-06-02
APCL17_371	L5493	Amphiprion clarkii	not applicable	tail fin	J	2017-06-02
APCL17_395	L5502	Amphiprion clarkii	not applicable	tail fin	M	2017-06-03
APCL17_402	L5504	Amphiprion clarkii	not applicable	tail fin	J	2017-06-04
APCL17_335	L5476	Amphiprion clarkii	not applicable	tail fin	M	2017-05-30
APCL17_334	L5560	Amphiprion clarkii	not applicable	tail fin	J	2017-05-30
APCL17_332	L5475	Amphiprion clarkii	not applicable	tail fin	J	2017-05-30
APCL17_329	L5472	Amphiprion clarkii	not applicable	tail fin	J	2017-05-30
APCL17_333	L5589	Amphiprion clarkii	not applicable	tail fin	M	2017-05-30
APCL17_394	L5599	Amphiprion clarkii	not applicable	tail fin	J	2017-06-03
APCL17_346	L5483	Amphiprion clarkii	not applicable	tail fin	J	2017-05-30
APCL17_347	L5591	Amphiprion clarkii	not applicable	tail fin	M	2017-05-30
APCL17_390	L5598	Amphiprion clarkii	not applicable	tail fin	F	2017-06-03
APCL17_362	L5489	Amphiprion clarkii	not applicable	tail fin	J	2017-06-02
APCL17_345	L5482	Amphiprion clarkii	not applicable	tail fin	F	2017-05-30
APCL17_365	L5593	Amphiprion clarkii	not applicable	tail fin	F	2017-06-02
APCL17_361	L5488	Amphiprion clarkii	not applicable	tail fin	F	2017-06-02
APCL17_401	L5503	Amphiprion clarkii	not applicable	tail fin	F	2017-06-04
APCL17_367	L5594	Amphiprion clarkii	not applicable	tail fin	M	2017-06-02
APCL17_398	L5569	Amphiprion clarkii	not applicable	tail fin	J	2017-06-04
APCL17_322	L5468	Amphiprion clarkii	not applicable	tail fin	F	2017-05-30
APCL17_376	L5495	Amphiprion clarkii	not applicable	tail fin	F	2017-06-02
APCL17_397	L5600	Amphiprion clarkii	not applicable	tail fin	M	2017-06-03
APCL17_330	L5473	Amphiprion clarkii	not applicable	tail fin	M	2017-05-30
APCL17_350	L5562	Amphiprion clarkii	not applicable	tail fin	J	2017-05-30
APCL17_352	L5486	Amphiprion clarkii	not applicable	tail fin	F	2017-05-30
APCL17_388	L5597	Amphiprion clarkii	not applicable	tail fin	J	2017-06-03
APCL17_385	L5596	Amphiprion clarkii	not applicable	tail fin	M	2017-06-03
APCL17_396	L5568	Amphiprion clarkii	not applicable	tail fin	J	2017-06-03
APCL17_363	L5592	Amphiprion clarkii	not applicable	tail fin	J	2017-06-02
APCL17_379	L5497	Amphiprion clarkii	not applicable	tail fin	M	2017-06-02
APCL17_386	L5500	Amphiprion clarkii	not applicable	tail fin	J	2017-06-03
APCL17_354	L5564	Amphiprion clarkii	not applicable	tail fin	J	2017-06-02
APCL17_378	L5496	Amphiprion clarkii	not applicable	tail fin	J	2017-06-02
APCL17_342	L5561	Amphiprion clarkii	not applicable	tail fin	J	2017-05-30
APCL17_343	L5481	Amphiprion clarkii	not applicable	tail fin	J	2017-05-30
APCL17_351	L5485	Amphiprion clarkii	not applicable	tail fin	J	2017-05-30
APCL17_387	L5566	Amphiprion clarkii	not applicable	tail fin	F	2017-06-03
APCL17_380	L5595	Amphiprion clarkii	not applicable	tail fin	J	2017-06-02
APCL17_349	L5484	Amphiprion clarkii	not applicable	tail fin	J	2017-05-30
APCL17_327	L5471	Amphiprion clarkii	not applicable	tail fin	F	2017-05-30
APCL17_337	L5478	Amphiprion clarkii	not applicable	tail fin	J	2017-05-30
APCL17_338	L5590	Amphiprion clarkii	not applicable	tail fin	F	2017-05-30
APCL17_325	L5588	Amphiprion clarkii	not applicable	tail fin	M	2017-05-30
APCL17_403	L5601	Amphiprion clarkii	not applicable	tail fin	J	2017-06-04
APCL17_366	L5490	Amphiprion clarkii	not applicable	tail fin	M	2017-06-02
APCL17_339	L5479	Amphiprion clarkii	not applicable	tail fin	M	2017-05-30
APCL17_336	L5477	Amphiprion clarkii	not applicable	tail fin	J	2017-05-30
APCL17_324	L5469	Amphiprion clarkii	not applicable	tail fin	J	2017-05-30
APCL17_341	L5480	Amphiprion clarkii	not applicable	tail fin	J	2017-05-30
APCL17_369	L5492	Amphiprion clarkii	not applicable	tail fin	J	2017-06-02
APCL17_393	L5567	Amphiprion clarkii	not applicable	tail fin	M	2017-06-03
APCL17_405	L5602	Amphiprion clarkii	not applicable	tail fin	J	2017-06-04
APCL17_368	L5491	Amphiprion clarkii	not applicable	tail fin	J	2017-06-02
APCL17_375	L5494	Amphiprion clarkii	not applicable	tail fin	F	2017-06-02
APCL17_392	L5501	Amphiprion clarkii	not applicable	tail fin	F	2017-06-03
APCL17_317	L5466	Amphiprion clarkii	not applicable	tail fin	M	2017-05-30
APCL17_316	L5465	Amphiprion clarkii	not applicable	tail fin	F	2017-05-30
APCL17_319	L5587	Amphiprion clarkii	not applicable	tail fin	J	2017-05-30
APCL17_318	L5467	Amphiprion clarkii	not applicable	tail fin	F	2017-05-30
APCL17_314	L5464	Amphiprion clarkii	not applicable	tail fin	M	2017-05-30
APCL15_356353	L2736	Amphiprion clarkii	not applicable	tail fin	M	2015-06-05
APCL15_078	L2723	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL15_364555	L2687	Amphiprion clarkii	not applicable	tail fin	M	2015-06-09
APCL15_364988	L2671	Amphiprion clarkii	not applicable	tail fin	M	2015-06-09
APCL15_101	L3016	Amphiprion clarkii	not applicable	tail fin	J	2015-06-07
APCL15_356422	L2685	Amphiprion clarkii	not applicable	tail fin	M	2015-06-09
APCL15_404131	L2655	Amphiprion clarkii	not applicable	tail fin	F	2015-06-11
APCL15_120	L2656	Amphiprion clarkii	not applicable	tail fin	J	2015-06-09
APCL15_354281	L2707	Amphiprion clarkii	not applicable	tail fin	J	2015-06-07
APCL15_112	L2666	Amphiprion clarkii	not applicable	tail fin	J	2015-06-08
APCL15_369615	L2697	Amphiprion clarkii	not applicable	tail fin	F	2015-06-07
APCL15_369767	L2735	Amphiprion clarkii	not applicable	tail fin	F	2015-06-05
APCL15_082	L2719	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL15_363661	L2678	Amphiprion clarkii	not applicable	tail fin	F	2015-06-09
APCL15_353835	L2692	Amphiprion clarkii	not applicable	tail fin	J	2015-06-07
APCL15_368773	L2703	Amphiprion clarkii	not applicable	tail fin	J	2015-06-07
APCL15_098	L3069	Amphiprion clarkii	not applicable	tail fin	J	2015-06-07
APCL15_368386	L2694	Amphiprion clarkii	not applicable	tail fin	F	2015-06-07
APCL15_362514	L2658	Amphiprion clarkii	not applicable	tail fin	M	2015-06-09
APCL15_102	L2689	Amphiprion clarkii	not applicable	tail fin	J	2015-06-07
APCL15_403170	L2670	Amphiprion clarkii	not applicable	tail fin	M	2015-06-11
APCL15_100	L3091	Amphiprion clarkii	not applicable	tail fin	J	2015-06-07
APCL15_077	L3097	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL15_373186	L2732	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL15_085	L2728	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL15_371140	L2699	Amphiprion clarkii	not applicable	tail fin	M	2015-06-07
APCL15_371140	L5080	Amphiprion clarkii	not applicable	tail fin	M	2015-06-07
APCL15_368852	L2710	Amphiprion clarkii	not applicable	tail fin	M	2015-06-05
APCL15_130	L2675	Amphiprion clarkii	not applicable	tail fin	J	2015-06-11
APCL15_372316	L2708	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL15_404993	L2668	Amphiprion clarkii	not applicable	tail fin	F	2015-06-11
APCL15_406357	L2676	Amphiprion clarkii	not applicable	tail fin	M	2015-06-11
APCL15_122	L2884	Amphiprion clarkii	not applicable	tail fin	J	2015-06-09
APCL15_368111	L2696	Amphiprion clarkii	not applicable	tail fin	M	2015-06-07
APCL15_368338	L2720	Amphiprion clarkii	not applicable	tail fin	F	2015-06-05
APCL15_369699	L2701	Amphiprion clarkii	not applicable	tail fin	M	2015-06-07
APCL15_405308	L2677	Amphiprion clarkii	not applicable	tail fin	M	2015-06-11
APCL15_354513	L2727	Amphiprion clarkii	not applicable	tail fin	F	2015-06-05
APCL15_406453	L2682	Amphiprion clarkii	not applicable	tail fin	J	2015-06-11
APCL15_096	L2705	Amphiprion clarkii	not applicable	tail fin	J	2015-06-07
APCL15_124	L2669	Amphiprion clarkii	not applicable	tail fin	J	2015-06-11
APCL15_371425	L2665	Amphiprion clarkii	not applicable	tail fin	M	2015-06-09
APCL15_115	L2738	Amphiprion clarkii	not applicable	tail fin	J	2015-06-09
APCL15_370997	L2659	Amphiprion clarkii	not applicable	tail fin	F	2015-06-09
APCL15_372611	L2704	Amphiprion clarkii	not applicable	tail fin	M	2015-06-07
APCL15_403314	L2702	Amphiprion clarkii	not applicable	tail fin	M	2015-06-07
APCL15_091	L2733	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL15_373218	L2737	Amphiprion clarkii	not applicable	tail fin	F	2015-06-05
APCL15_370180	L2686	Amphiprion clarkii	not applicable	tail fin	F	2015-06-09
APCL15_370157	L2713	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL15_355903	L2681	Amphiprion clarkii	not applicable	tail fin	F	2015-06-09
APCL15_079	L2709	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL15_355603	L2700	Amphiprion clarkii	not applicable	tail fin	M	2015-06-07
APCL15_126	L2683	Amphiprion clarkii	not applicable	tail fin	F	2015-06-11
APCL15_081	L2721	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL15_105	L2674	Amphiprion clarkii	not applicable	tail fin	J	2015-06-07
APCL15_369033	L2722	Amphiprion clarkii	not applicable	tail fin	M	2015-06-05
APCL15_355618	L2712	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL15_362937	L2693	Amphiprion clarkii	not applicable	tail fin	M	2015-06-07
APCL15_373232	L2724	Amphiprion clarkii	not applicable	tail fin	M	2015-06-05
APCL15_355246	L2690	Amphiprion clarkii	not applicable	tail fin	M	2015-06-07
APCL15_404021	L2654	Amphiprion clarkii	not applicable	tail fin	M	2015-06-11
APCL15_355891	L2706	Amphiprion clarkii	not applicable	tail fin	F	2015-06-07
APCL15_080	L2715	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL15_355715	L2691	Amphiprion clarkii	not applicable	tail fin	F	2015-06-07
APCL15_355715	L5368	Amphiprion clarkii	not applicable	tail fin	F	2015-06-07
APCL15_354358	L2673	Amphiprion clarkii	not applicable	tail fin	F	2015-06-09
APCL15_353987	L2698	Amphiprion clarkii	not applicable	tail fin	F	2015-06-07
APCL15_372788	L2717	Amphiprion clarkii	not applicable	tail fin	M	2015-06-05
APCL15_083	L2711	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL15_403157	L2684	Amphiprion clarkii	not applicable	tail fin	M	2015-06-11
APCL15_368417	L2885	Amphiprion clarkii	not applicable	tail fin	F	2015-06-09
APCL15_355693	L2718	Amphiprion clarkii	not applicable	tail fin	M	2015-06-05
APCL15_104	L3105	Amphiprion clarkii	not applicable	tail fin	J	2015-06-07
APCL15_103	L2688	Amphiprion clarkii	not applicable	tail fin	J	2015-06-07
APCL15_113	L2660	Amphiprion clarkii	not applicable	tail fin	J	2015-06-08
APCL15_092	L2734	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL15_355735	L2672	Amphiprion clarkii	not applicable	tail fin	J	2015-06-09
APCL15_404299	L2679	Amphiprion clarkii	not applicable	tail fin	M	2015-06-09
APCL15_086	L2730	Amphiprion clarkii	not applicable	tail fin	J	2015-06-05
APCL15_406807	L2680	Amphiprion clarkii	not applicable	tail fin	M	2015-06-09
APCL15_364882	L2714	Amphiprion clarkii	not applicable	tail fin	M	2015-06-05
APCL15_121	L3074	Amphiprion clarkii	not applicable	tail fin	J	2015-06-09
APCL15_405034	L2663	Amphiprion clarkii	not applicable	tail fin	M	2015-06-11
APCL15_369857	L2664	Amphiprion clarkii	not applicable	tail fin	M	2015-06-09
APCL16_678	L3714	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_678	L5363	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_733	L5411	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_679	L3713	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_679	L5364	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_710	L5389	Amphiprion clarkii	not applicable	tail fin	M	2016-06-07
APCL16_695	L5380	Amphiprion clarkii	not applicable	tail fin	M	2016-06-07
APCL16_718	L5397	Amphiprion clarkii	not applicable	tail fin	M	2016-06-07
APCL16_752	L5430	Amphiprion clarkii	not applicable	tail fin	M	2016-06-09
APCL16_682	L3710	Amphiprion clarkii	not applicable	tail fin	M	2016-06-06
APCL16_682	L5367	Amphiprion clarkii	not applicable	tail fin	M	2016-06-06
APCL16_706	L5387	Amphiprion clarkii	not applicable	tail fin	M	2016-06-07
APCL16_675	L3717	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_675	L5360	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_742	L5420	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_737	L5415	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_693	L3699	Amphiprion clarkii	not applicable	tail fin	M	2016-06-07
APCL16_693	L5378	Amphiprion clarkii	not applicable	tail fin	M	2016-06-07
APCL16_711	L5390	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_676	L3716	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_676	L5361	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_681	L3711	Amphiprion clarkii	not applicable	tail fin	M	2016-06-06
APCL16_681	L5366	Amphiprion clarkii	not applicable	tail fin	M	2016-06-06
APCL16_720	L5398	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_750	L5428	Amphiprion clarkii	not applicable	tail fin	J	2016-06-09
APCL16_672	L3720	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_672	L5357	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_746	L5424	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_712	L5391	Amphiprion clarkii	not applicable	tail fin	M	2016-06-07
APCL16_716	L5395	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_730	L5408	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_721	L5399	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_726	L5404	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_670	L3722	Amphiprion clarkii	not applicable	tail fin	F	2016-06-06
APCL16_670	L5355	Amphiprion clarkii	not applicable	tail fin	F	2016-06-06
APCL16_705	L5386	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_723	L5401	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_677	L3715	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_677	L5362	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_743	L5421	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_691	L3701	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_691	L5376	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_727	L5405	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_749	L5427	Amphiprion clarkii	not applicable	tail fin	J	2016-06-09
APCL16_667	L3725	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_667	L5352	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_731	L5409	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_717	L5396	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_671	L3721	Amphiprion clarkii	not applicable	tail fin	M	2016-06-06
APCL16_671	L5356	Amphiprion clarkii	not applicable	tail fin	M	2016-06-06
APCL16_714	L5393	Amphiprion clarkii	not applicable	tail fin	F	2016-06-07
APCL16_692	L3700	Amphiprion clarkii	not applicable	tail fin	M	2016-06-07
APCL16_692	L5377	Amphiprion clarkii	not applicable	tail fin	M	2016-06-07
APCL16_740	L5418	Amphiprion clarkii	not applicable	tail fin	M	2016-06-07
APCL16_696	L5381	Amphiprion clarkii	not applicable	tail fin	F	2016-06-07
APCL16_736	L5414	Amphiprion clarkii	not applicable	tail fin	F	2016-06-07
APCL16_686	L3706	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_686	L5372	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_715	L5394	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_745	L5423	Amphiprion clarkii	not applicable	tail fin	F	2016-06-07
APCL16_722	L5400	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_684	L3708	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_684	L5370	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_680	L3712	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_680	L5365	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_690	L3702	Amphiprion clarkii	not applicable	tail fin	M	2016-06-07
APCL16_690	L5375	Amphiprion clarkii	not applicable	tail fin	M	2016-06-07
APCL16_697	L5382	Amphiprion clarkii	not applicable	tail fin	M	2016-06-07
APCL16_673	L3719	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_673	L5358	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_689	L3703	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_689	L5374	Amphiprion clarkii	not applicable	tail fin	J	2016-06-07
APCL16_702	L5385	Amphiprion clarkii	not applicable	tail fin	M	2016-06-07
APCL16_668	L3724	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
APCL16_668	L5353	Amphiprion clarkii	not applicable	tail fin	J	2016-06-06
