sample_name	ligation_id	organism	isolate	tissue	sex	collection_date	dev_stage
APCL18_425_L3953	L3953	Amphiprion clarkii	not applicable	tail fin	female	2018-03-19	adult
APCL18_428_L3954	L3954	Amphiprion clarkii	not applicable	tail fin	female	2018-03-19	adult
APCL18_429_L3955	L3955	Amphiprion clarkii	not applicable	tail fin	male	2018-03-19	adult
APCL18_430_L3956	L3956	Amphiprion clarkii	not applicable	tail fin	not applicable	2018-03-19	juvenile
APCL18_431_L3957	L3957	Amphiprion clarkii	not applicable	tail fin	male	2018-03-19	adult
APCL18_432_L3958	L3958	Amphiprion clarkii	not applicable	tail fin	female	2018-03-19	adult
APCL18_433_L3959	L3959	Amphiprion clarkii	not applicable	tail fin	female	2018-03-19	adult
APCL18_434_L3960	L3960	Amphiprion clarkii	not applicable	tail fin	male	2018-03-19	adult
APCL18_436_L3961	L3961	Amphiprion clarkii	not applicable	tail fin	male	2018-03-19	adult
APCL18_437_L3962	L3962	Amphiprion clarkii	not applicable	tail fin	male	2018-03-19	adult
APCL18_438_L3963	L3963	Amphiprion clarkii	not applicable	tail fin	not applicable	2018-03-19	juvenile
APCL18_447_L3964	L3964	Amphiprion clarkii	not applicable	tail fin	not applicable	2018-03-19	juvenile
APCL18_450_L3965	L3965	Amphiprion clarkii	not applicable	tail fin	not applicable	2018-03-19	juvenile
APCL18_451_L3966	L3966	Amphiprion clarkii	not applicable	tail fin	male	2018-03-19	adult
APCL18_454_L3967	L3967	Amphiprion clarkii	not applicable	tail fin	male	2018-03-19	adult
APCL18_455_L3968	L3968	Amphiprion clarkii	not applicable	tail fin	female	2018-03-19	adult
APCL18_456_L3969	L3969	Amphiprion clarkii	not applicable	tail fin	not applicable	2018-03-19	juvenile
APCL18_457_L3970	L3970	Amphiprion clarkii	not applicable	tail fin	male	2018-03-19	adult
APCL18_458_L3971	L3971	Amphiprion clarkii	not applicable	tail fin	female	2018-03-19	adult
APCL18_459_L3972	L3972	Amphiprion clarkii	not applicable	tail fin	male	2018-03-19	adult
APCL18_460_L3973	L3973	Amphiprion clarkii	not applicable	tail fin	male	2018-03-19	adult
APCL18_461_L3974	L3974	Amphiprion clarkii	not applicable	tail fin	male	2018-03-19	adult
APCL18_462_L3975	L3975	Amphiprion clarkii	not applicable	tail fin	male	2018-03-19	adult
APCL18_463_L3976	L3976	Amphiprion clarkii	not applicable	tail fin	not applicable	2018-03-19	juvenile
APCL18_464_L3977	L3977	Amphiprion clarkii	not applicable	tail fin	male	2018-03-19	adult
APCL18_465_L3978	L3978	Amphiprion clarkii	not applicable	tail fin	female	2018-03-19	adult
APCL18_466_L3979	L3979	Amphiprion clarkii	not applicable	tail fin	male	2018-03-19	adult
APCL18_471_L3980	L3980	Amphiprion clarkii	not applicable	tail fin	not applicable	2018-03-19	juvenile
APCL18_472_L3981	L3981	Amphiprion clarkii	not applicable	tail fin	male	2018-03-19	adult
APCL18_473_L3982	L3982	Amphiprion clarkii	not applicable	tail fin	female	2018-03-19	adult
APCL18_475_L3983	L3983	Amphiprion clarkii	not applicable	tail fin	male	2018-03-22	adult
APCL18_476_L3984	L3984	Amphiprion clarkii	not applicable	tail fin	female	2018-03-22	adult
APCL18_477_L3985	L3985	Amphiprion clarkii	not applicable	tail fin	male	2018-03-22	adult
APCL18_478_L3986	L3986	Amphiprion clarkii	not applicable	tail fin	female	2018-03-21	adult
APCL18_479_L3987	L3987	Amphiprion clarkii	not applicable	tail fin	not applicable	2018-03-21	juvenile
APCL18_480_L3988	L3988	Amphiprion clarkii	not applicable	tail fin	not applicable	2018-03-21	juvenile
APCL18_482_L3989	L3989	Amphiprion clarkii	not applicable	tail fin	male	2018-03-21	adult
APCL18_483_L3990	L3990	Amphiprion clarkii	not applicable	tail fin	not applicable	2018-03-21	juvenile
APCL18_484_L3991	L3991	Amphiprion clarkii	not applicable	tail fin	female	2018-03-21	adult
APCL18_485_L3992	L3992	Amphiprion clarkii	not applicable	tail fin	not applicable	2018-03-21	juvenile
APCL18_486_L3993	L3993	Amphiprion clarkii	not applicable	tail fin	not applicable	2018-03-21	juvenile
APCL18_487_L3994	L3994	Amphiprion clarkii	not applicable	tail fin	male	2018-03-21	adult
APCL18_488_L3995	L3995	Amphiprion clarkii	not applicable	tail fin	female	2018-03-21	adult
