sample_name	ligation_id	organism	isolate	tissue	sex	collection_date	dev_stage
APCL12_195_L2574	L2574	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-11	juvenile
APCL15_131_L2575	L2575	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-11	juvenile
APCL15_403603_L2576	L2576	Amphiprion clarkii	not applicable	tail fin	female	2015-06-13	adult
APCL12_149_L2577	L2577	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-10	juvenile
APCL12_178_L2578	L2578	Amphiprion clarkii	not applicable	tail fin	NA	2012-05-10	NA
APCL12_180_L2579	L2579	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-10	juvenile
APCL12_181_L2580	L2580	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-11	juvenile
APCL12_186_L2581	L2581	Amphiprion clarkii	not applicable	tail fin	female	2012-05-11	adult
APCL12_187_L2582	L2582	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-11	juvenile
APCL12_188_L2583	L2583	Amphiprion clarkii	not applicable	tail fin	not applicable	2012-05-11	juvenile
APCL15_402781_L2584	L2584	Amphiprion clarkii	not applicable	tail fin	male	2015-06-13	adult
APCL15_139_L2585	L2585	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-13	juvenile
APCL15_356267_L2586	L2586	Amphiprion clarkii	not applicable	tail fin	female	2015-06-13	adult
APCL15_403045_L2587	L2587	Amphiprion clarkii	not applicable	tail fin	female	2015-06-13	adult
APCL15_405033_L2588	L2588	Amphiprion clarkii	not applicable	tail fin	male	2015-06-13	adult
APCL15_363882_L2589	L2589	Amphiprion clarkii	not applicable	tail fin	female	2015-06-13	adult
APCL15_370592_L2590	L2590	Amphiprion clarkii	not applicable	tail fin	male	2015-06-13	adult
APCL15_142_L2591	L2591	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-13	juvenile
APCL15_405015_L2592	L2592	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-13	juvenile
APCL15_356404_L2593	L2593	Amphiprion clarkii	not applicable	tail fin	male	2015-06-13	adult
APCL15_144_L2594	L2594	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-13	juvenile
APCL15_370407_L2595	L2595	Amphiprion clarkii	not applicable	tail fin	male	2015-06-13	adult
APCL15_355651_L2596	L2596	Amphiprion clarkii	not applicable	tail fin	male	2015-06-13	adult
APCL15_372549_L2597	L2597	Amphiprion clarkii	not applicable	tail fin	male	2015-06-13	adult
APCL15_136_L2598	L2598	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-13	juvenile
APCL15_369143_L2599	L2599	Amphiprion clarkii	not applicable	tail fin	female	2015-06-13	adult
APCL15_368572_L2600	L2600	Amphiprion clarkii	not applicable	tail fin	female	2015-06-13	adult
APCL15_403708_L2601	L2601	Amphiprion clarkii	not applicable	tail fin	male	2015-06-13	adult
APCL15_370174_L2602	L2602	Amphiprion clarkii	not applicable	tail fin	female	2015-06-13	adult
APCL15_405116_L2603	L2603	Amphiprion clarkii	not applicable	tail fin	male	2015-06-13	adult
APCL15_145_L2605	L2605	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-13	juvenile
APCL15_406841_L2606	L2606	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-13	juvenile
APCL15_405336_L2607	L2607	Amphiprion clarkii	not applicable	tail fin	male	2015-06-13	adult
APCL15_404548_L2608	L2608	Amphiprion clarkii	not applicable	tail fin	male	2015-06-13	adult
APCL15_354382_L2609	L2609	Amphiprion clarkii	not applicable	tail fin	female	2015-06-13	adult
APCL15_354123_L2610	L2610	Amphiprion clarkii	not applicable	tail fin	male	2015-06-13	adult
APCL15_141_L2611	L2611	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-13	juvenile
APCL15_354733_L2612	L2612	Amphiprion clarkii	not applicable	tail fin	female	2015-06-13	adult
APCL15_368898_L2613	L2613	Amphiprion clarkii	not applicable	tail fin	male	2015-06-13	adult
APCL15_354481_L2614	L2614	Amphiprion clarkii	not applicable	tail fin	male	2015-06-13	adult
APCL15_355853_L2615	L2615	Amphiprion clarkii	not applicable	tail fin	male	2015-06-13	adult
APCL15_375244_L2616	L2616	Amphiprion clarkii	not applicable	tail fin	female	2015-06-13	adult
APCL15_372731_L2617	L2617	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-13	juvenile
APCL15_372461_L2618	L2618	Amphiprion clarkii	not applicable	tail fin	male	2015-06-14	adult
APCL15_404792_L2619	L2619	Amphiprion clarkii	not applicable	tail fin	male	2015-06-13	adult
APCL15_354533_L2620	L2620	Amphiprion clarkii	not applicable	tail fin	female	2015-06-13	adult
APCL15_354525_L2621	L2621	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-13	juvenile
APCL15_356398_L2622	L2622	Amphiprion clarkii	not applicable	tail fin	male	2015-06-13	adult
APCL15_355880_L2623	L2623	Amphiprion clarkii	not applicable	tail fin	female	2015-06-14	adult
APCL15_362989_L2624	L2624	Amphiprion clarkii	not applicable	tail fin	male	2015-06-14	adult
APCL15_371825_L2625	L2625	Amphiprion clarkii	not applicable	tail fin	male	2015-06-14	adult
APCL15_362714_L2626	L2626	Amphiprion clarkii	not applicable	tail fin	male	2015-06-14	adult
APCL15_355734_L2627	L2627	Amphiprion clarkii	not applicable	tail fin	male	2015-06-14	adult
APCL15_372649_L2628	L2628	Amphiprion clarkii	not applicable	tail fin	male	2015-06-14	adult
APCL15_355896_L2629	L2629	Amphiprion clarkii	not applicable	tail fin	male	2015-06-14	adult
APCL15_127_L2631	L2631	Amphiprion clarkii	not applicable	tail fin	male	2015-06-11	adult
APCL15_119_L2632	L2632	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-09	juvenile
APCL15_370613_L2633	L2633	Amphiprion clarkii	not applicable	tail fin	female	2015-06-09	adult
APCL15_371672_L2634	L2634	Amphiprion clarkii	not applicable	tail fin	male	2015-06-09	adult
APCL15_372405_L2635	L2635	Amphiprion clarkii	not applicable	tail fin	female	2015-06-07	adult
APCL15_406498_L2636	L2636	Amphiprion clarkii	not applicable	tail fin	male	2015-06-11	adult
APCL15_407297_L2637	L2637	Amphiprion clarkii	not applicable	tail fin	male	2015-06-11	adult
APCL15_355666_L2638	L2638	Amphiprion clarkii	not applicable	tail fin	male	2015-06-09	adult
APCL15_355219_L2639	L2639	Amphiprion clarkii	not applicable	tail fin	male	2015-06-09	adult
APCL15_107_L2640	L2640	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-08	juvenile
APCL15_097_L2641	L2641	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-08	juvenile
APCL15_404090_L2642	L2642	Amphiprion clarkii	not applicable	tail fin	male	2015-06-11	adult
APCL15_403352_L2643	L2643	Amphiprion clarkii	not applicable	tail fin	male	2015-06-11	adult
APCL15_125_L2644	L2644	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-11	juvenile
APCL15_114_L2645	L2645	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-09	juvenile
APCL15_370599_L2647	L2647	Amphiprion clarkii	not applicable	tail fin	male	2015-06-09	adult
APCL15_111_L2648	L2648	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-08	juvenile
APCL15_354247_L2649	L2649	Amphiprion clarkii	not applicable	tail fin	female	2015-06-07	adult
APCL15_129_L2650	L2650	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-11	juvenile
APCL15_404120_L2651	L2651	Amphiprion clarkii	not applicable	tail fin	female	2015-06-11	adult
APCL15_402968_L2652	L2652	Amphiprion clarkii	not applicable	tail fin	male	2015-06-11	adult
APCL15_368924_L2653	L2653	Amphiprion clarkii	not applicable	tail fin	female	2015-06-09	adult
APCL15_404021_L2654	L2654	Amphiprion clarkii	not applicable	tail fin	male	2015-06-11	adult
APCL15_404131_L2655	L2655	Amphiprion clarkii	not applicable	tail fin	female	2015-06-11	adult
APCL15_120_L2656	L2656	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-09	juvenile
APCL15_362514_L2658	L2658	Amphiprion clarkii	not applicable	tail fin	male	2015-06-09	adult
APCL15_370997_L2659	L2659	Amphiprion clarkii	not applicable	tail fin	female	2015-06-09	adult
APCL15_113_L2660	L2660	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-08	juvenile
APCL15_405034_L2663	L2663	Amphiprion clarkii	not applicable	tail fin	male	2015-06-11	adult
APCL15_369857_L2664	L2664	Amphiprion clarkii	not applicable	tail fin	male	2015-06-09	adult
APCL15_371425_L2665	L2665	Amphiprion clarkii	not applicable	tail fin	male	2015-06-09	adult
APCL15_112_L2666	L2666	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-08	juvenile
APCL15_403468_L2667	L2667	Amphiprion clarkii	not applicable	tail fin	male	2015-06-13	adult
APCL15_404993_L2668	L2668	Amphiprion clarkii	not applicable	tail fin	female	2015-06-11	adult
APCL15_124_L2669	L2669	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-11	juvenile
APCL15_403170_L2670	L2670	Amphiprion clarkii	not applicable	tail fin	male	2015-06-11	adult
APCL15_364988_L2671	L2671	Amphiprion clarkii	not applicable	tail fin	male	2015-06-09	adult
APCL15_355735_L2672	L2672	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-09	juvenile
APCL15_354358_L2673	L2673	Amphiprion clarkii	not applicable	tail fin	female	2015-06-09	adult
APCL15_105_L2674	L2674	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-07	juvenile
APCL15_130_L2675	L2675	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-11	juvenile
APCL15_406357_L2676	L2676	Amphiprion clarkii	not applicable	tail fin	male	2015-06-11	adult
APCL15_405308_L2677	L2677	Amphiprion clarkii	not applicable	tail fin	male	2015-06-11	adult
APCL15_363661_L2678	L2678	Amphiprion clarkii	not applicable	tail fin	female	2015-06-09	adult
APCL15_404299_L2679	L2679	Amphiprion clarkii	not applicable	tail fin	male	2015-06-09	adult
APCL15_406807_L2680	L2680	Amphiprion clarkii	not applicable	tail fin	male	2015-06-09	adult
APCL15_355903_L2681	L2681	Amphiprion clarkii	not applicable	tail fin	female	2015-06-09	adult
APCL15_406453_L2682	L2682	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-11	juvenile
APCL15_126_L2683	L2683	Amphiprion clarkii	not applicable	tail fin	female	2015-06-11	adult
APCL15_403157_L2684	L2684	Amphiprion clarkii	not applicable	tail fin	male	2015-06-11	adult
APCL15_356422_L2685	L2685	Amphiprion clarkii	not applicable	tail fin	male	2015-06-09	adult
APCL15_370180_L2686	L2686	Amphiprion clarkii	not applicable	tail fin	female	2015-06-09	adult
APCL15_364555_L2687	L2687	Amphiprion clarkii	not applicable	tail fin	male	2015-06-09	adult
APCL15_103_L2688	L2688	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-07	juvenile
APCL15_102_L2689	L2689	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-07	juvenile
APCL15_355246_L2690	L2690	Amphiprion clarkii	not applicable	tail fin	male	2015-06-07	adult
APCL15_355715_L2691	L2691	Amphiprion clarkii	not applicable	tail fin	female	2015-06-07	adult
APCL15_353835_L2692	L2692	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-07	juvenile
APCL15_362937_L2693	L2693	Amphiprion clarkii	not applicable	tail fin	male	2015-06-07	adult
APCL15_368386_L2694	L2694	Amphiprion clarkii	not applicable	tail fin	female	2015-06-07	adult
APCL15_368111_L2696	L2696	Amphiprion clarkii	not applicable	tail fin	male	2015-06-07	adult
APCL15_369615_L2697	L2697	Amphiprion clarkii	not applicable	tail fin	female	2015-06-07	adult
APCL15_353987_L2698	L2698	Amphiprion clarkii	not applicable	tail fin	female	2015-06-07	adult
APCL15_371140_L2699	L2699	Amphiprion clarkii	not applicable	tail fin	male	2015-06-07	adult
APCL15_355603_L2700	L2700	Amphiprion clarkii	not applicable	tail fin	male	2015-06-07	adult
APCL15_369699_L2701	L2701	Amphiprion clarkii	not applicable	tail fin	male	2015-06-07	adult
APCL15_403314_L2702	L2702	Amphiprion clarkii	not applicable	tail fin	male	2015-06-07	adult
APCL15_368773_L2703	L2703	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-07	juvenile
APCL15_372611_L2704	L2704	Amphiprion clarkii	not applicable	tail fin	male	2015-06-07	adult
APCL15_096_L2705	L2705	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-07	juvenile
APCL15_355891_L2706	L2706	Amphiprion clarkii	not applicable	tail fin	female	2015-06-07	adult
APCL15_354281_L2707	L2707	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-07	juvenile
APCL15_372316_L2708	L2708	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-05	juvenile
APCL15_079_L2709	L2709	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-05	juvenile
APCL15_368852_L2710	L2710	Amphiprion clarkii	not applicable	tail fin	male	2015-06-05	adult
APCL15_083_L2711	L2711	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-05	juvenile
APCL15_355618_L2712	L2712	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-05	juvenile
APCL15_370157_L2713	L2713	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-05	juvenile
APCL15_364882_L2714	L2714	Amphiprion clarkii	not applicable	tail fin	male	2015-06-05	adult
APCL15_080_L2715	L2715	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-05	juvenile
APCL15_372788_L2717	L2717	Amphiprion clarkii	not applicable	tail fin	male	2015-06-05	adult
APCL15_355693_L2718	L2718	Amphiprion clarkii	not applicable	tail fin	male	2015-06-05	adult
APCL15_082_L2719	L2719	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-05	juvenile
APCL15_368338_L2720	L2720	Amphiprion clarkii	not applicable	tail fin	female	2015-06-05	adult
APCL15_081_L2721	L2721	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-05	juvenile
APCL15_369033_L2722	L2722	Amphiprion clarkii	not applicable	tail fin	male	2015-06-05	adult
APCL15_078_L2723	L2723	Amphiprion clarkii	not applicable	tail fin	not applicable	2015-06-05	juvenile
APCL15_373232_L2724	L2724	Amphiprion clarkii	not applicable	tail fin	male	2015-06-05	adult
